iter	Passed	Remaining
0	10	1005
1	19	963
2	29	947
3	39	938
4	47	900
5	56	879
6	64	857
7	72	835
8	81	819
9	89	802
10	97	789
11	106	778
12	114	765
13	124	761
14	132	749
15	140	737
16	148	723
17	156	712
18	164	701
19	172	690
20	181	681
21	189	672
22	197	662
23	206	652
24	214	642
25	222	632
26	230	622
27	238	613
28	246	602
29	255	595
30	263	585
31	271	575
32	278	566
33	286	556
34	294	547
35	302	538
36	311	529
37	319	521
38	327	512
39	335	502
40	343	493
41	351	485
42	359	476
43	366	466
44	374	458
45	382	449
46	390	440
47	398	432
48	407	423
49	415	415
50	422	406
51	431	398
52	440	390
53	448	381
54	456	373
55	464	364
56	472	356
57	481	348
58	489	339
59	498	332
60	505	323
61	514	315
62	522	306
63	530	298
64	538	290
65	546	281
66	554	273
67	563	264
68	571	256
69	579	248
70	587	239
71	595	231
72	604	223
73	612	215
74	621	207
75	629	198
76	638	190
77	646	182
78	655	174
79	664	166
80	672	157
81	680	149
82	688	141
83	697	132
84	705	124
85	713	116
86	721	107
87	729	99
88	738	91
89	746	82
90	755	74
91	763	66
92	771	58
93	779	49
94	787	41
95	796	33
96	804	24
97	812	16
98	820	8
99	828	0
