iter	Passed	Remaining
0	5	571
1	11	574
2	17	559
3	25	605
4	29	561
5	33	527
6	38	508
7	42	486
8	46	471
9	51	460
10	55	449
11	59	436
12	63	424
13	67	415
14	72	410
15	76	402
16	80	392
17	84	384
18	87	373
19	91	365
20	95	358
21	98	350
22	102	344
23	106	338
24	110	332
25	115	328
26	120	326
27	125	323
28	130	319
29	137	320
30	142	316
31	147	313
32	153	311
33	158	307
34	163	303
35	170	302
36	175	298
37	178	291
38	183	286
39	188	282
40	193	278
41	199	275
42	207	274
43	212	270
44	218	267
45	224	263
46	230	260
47	236	255
48	240	250
49	248	248
50	253	243
51	258	238
52	264	234
53	269	229
54	274	224
55	281	220
56	285	215
57	289	209
58	293	204
59	298	199
60	302	193
61	305	187
62	310	182
63	314	177
64	318	171
65	322	166
66	327	161
67	331	155
68	335	150
69	339	145
70	343	140
71	347	135
72	351	130
73	355	125
74	360	120
75	363	114
76	367	109
77	371	104
78	375	99
79	380	95
80	384	90
81	387	85
82	391	80
83	395	75
84	399	70
85	403	65
86	408	61
87	413	56
88	418	51
89	423	47
90	428	42
91	434	37
92	440	33
93	444	28
94	448	23
95	453	18
96	458	14
97	463	9
98	466	4
99	472	0
